seed,result
1988,"{'mcc': 0.6757958187509315, 'tp': 848, 'tn': 644, 'fp': 257, 'fn': 51, 'acc': 0.8288888888888889}"
1989,"{'mcc': 0.5849621070238319, 'tp': 839, 'tn': 566, 'fp': 327, 'fn': 68, 'acc': 0.7805555555555556}"
