,1989
0,"{'mcc': 0.0, 'tp': 0, 'tn': 893, 'fp': 0, 'fn': 907, 'acc': 0.4961111111111111}"
1,"{'mcc': 0.0, 'tp': 0, 'tn': 893, 'fp': 0, 'fn': 907, 'acc': 0.4961111111111111}"
2,"{'mcc': 0.274387037702527, 'tp': 153, 'tn': 883, 'fp': 10, 'fn': 754, 'acc': 0.5755555555555556}"
3,"{'mcc': 0.5178686768658203, 'tp': 768, 'tn': 591, 'fp': 302, 'fn': 139, 'acc': 0.755}"
4,"{'mcc': 0.5656688990417175, 'tp': 672, 'tn': 735, 'fp': 158, 'fn': 235, 'acc': 0.7816666666666666}"
5,"{'mcc': 0.5218732530455851, 'tp': 859, 'tn': 469, 'fp': 424, 'fn': 48, 'acc': 0.7377777777777778}"
6,"{'mcc': 0.5849621070238319, 'tp': 839, 'tn': 566, 'fp': 327, 'fn': 68, 'acc': 0.7805555555555556}"
7,"{'mcc': 0.6486444618680907, 'tp': 774, 'tn': 709, 'fp': 184, 'fn': 133, 'acc': 0.8238888888888889}"
8,"{'mcc': 0.641079416562281, 'tp': 804, 'tn': 668, 'fp': 225, 'fn': 103, 'acc': 0.8177777777777778}"
9,"{'mcc': 0.6453796150691944, 'tp': 805, 'tn': 671, 'fp': 222, 'fn': 102, 'acc': 0.82}"
10,"{'mcc': 0.6448279556602597, 'tp': 802, 'tn': 674, 'fp': 219, 'fn': 105, 'acc': 0.82}"
11,"{'mcc': 0.6506947984471624, 'tp': 800, 'tn': 682, 'fp': 211, 'fn': 107, 'acc': 0.8233333333333334}"
12,"{'mcc': 0.6560614068427849, 'tp': 794, 'tn': 694, 'fp': 199, 'fn': 113, 'acc': 0.8266666666666667}"
13,"{'mcc': 0.6435183556375507, 'tp': 806, 'tn': 668, 'fp': 225, 'fn': 101, 'acc': 0.8188888888888889}"
14,"{'mcc': 0.6435183556375507, 'tp': 806, 'tn': 668, 'fp': 225, 'fn': 101, 'acc': 0.8188888888888889}"
