,1988
0,"{'mcc': 0.0, 'tp': 0, 'tn': 901, 'fp': 0, 'fn': 899, 'acc': 0.5005555555555555}"
1,"{'mcc': 0.0, 'tp': 899, 'tn': 0, 'fp': 901, 'fn': 0, 'acc': 0.49944444444444447}"
2,"{'mcc': 0.0, 'tp': 899, 'tn': 0, 'fp': 901, 'fn': 0, 'acc': 0.49944444444444447}"
3,"{'mcc': 0.6556042533137866, 'tp': 770, 'tn': 719, 'fp': 182, 'fn': 129, 'acc': 0.8272222222222222}"
4,"{'mcc': 0.7045020970087519, 'tp': 713, 'tn': 817, 'fp': 84, 'fn': 186, 'acc': 0.85}"
5,"{'mcc': 0.6645884215244766, 'tp': 838, 'tn': 646, 'fp': 255, 'fn': 61, 'acc': 0.8244444444444444}"
6,"{'mcc': 0.6757958187509315, 'tp': 848, 'tn': 644, 'fp': 257, 'fn': 51, 'acc': 0.8288888888888889}"
7,"{'mcc': 0.6647778722921249, 'tp': 854, 'tn': 624, 'fp': 277, 'fn': 45, 'acc': 0.8211111111111111}"
8,"{'mcc': 0.7236442203697538, 'tp': 829, 'tn': 717, 'fp': 184, 'fn': 70, 'acc': 0.8588888888888889}"
9,"{'mcc': 0.6669638089905908, 'tp': 857, 'tn': 622, 'fp': 279, 'fn': 42, 'acc': 0.8216666666666667}"
10,"{'mcc': 0.6834849409943388, 'tp': 848, 'tn': 652, 'fp': 249, 'fn': 51, 'acc': 0.8333333333333334}"
11,"{'mcc': 0.6872898859173934, 'tp': 845, 'tn': 660, 'fp': 241, 'fn': 54, 'acc': 0.8361111111111111}"
12,"{'mcc': 0.6828775202481607, 'tp': 849, 'tn': 650, 'fp': 251, 'fn': 50, 'acc': 0.8327777777777777}"
13,"{'mcc': 0.68472209271572, 'tp': 846, 'tn': 656, 'fp': 245, 'fn': 53, 'acc': 0.8344444444444444}"
14,"{'mcc': 0.6837556430328057, 'tp': 846, 'tn': 655, 'fp': 246, 'fn': 53, 'acc': 0.8338888888888889}"
