,1989
0,"{'mcc': 0.49840281317118185, 'tp': 547, 'tn': 783, 'fp': 110, 'fn': 360, 'acc': 0.7388888888888889}"
1,"{'mcc': 0.5010183066771328, 'tp': 551, 'tn': 782, 'fp': 111, 'fn': 356, 'acc': 0.7405555555555555}"
2,"{'mcc': 0.489013442820646, 'tp': 532, 'tn': 787, 'fp': 106, 'fn': 375, 'acc': 0.7327777777777778}"
3,"{'mcc': 0.5204813809625418, 'tp': 638, 'tn': 727, 'fp': 166, 'fn': 269, 'acc': 0.7583333333333333}"
4,"{'mcc': 0.49575300001870404, 'tp': 551, 'tn': 778, 'fp': 115, 'fn': 356, 'acc': 0.7383333333333333}"
5,"{'mcc': 0.5032884623644701, 'tp': 687, 'tn': 666, 'fp': 227, 'fn': 220, 'acc': 0.7516666666666667}"
6,"{'mcc': 0.49426241626618606, 'tp': 589, 'tn': 747, 'fp': 146, 'fn': 318, 'acc': 0.7422222222222222}"
7,"{'mcc': 0.42314568031592936, 'tp': 401, 'tn': 829, 'fp': 64, 'fn': 506, 'acc': 0.6833333333333333}"
8,"{'mcc': 0.3951680958186525, 'tp': 792, 'tn': 439, 'fp': 454, 'fn': 115, 'acc': 0.6838888888888889}"
9,"{'mcc': 0.28175943628242495, 'tp': 164, 'tn': 881, 'fp': 12, 'fn': 743, 'acc': 0.5805555555555556}"
10,"{'mcc': 0.2635518940437616, 'tp': 845, 'tn': 236, 'fp': 657, 'fn': 62, 'acc': 0.6005555555555555}"
11,"{'mcc': 0.04117792923110441, 'tp': 907, 'tn': 3, 'fp': 890, 'fn': 0, 'acc': 0.5055555555555555}"
12,"{'mcc': 0.07543123658491625, 'tp': 905, 'tn': 15, 'fp': 878, 'fn': 2, 'acc': 0.5111111111111111}"
13,"{'mcc': 0.24959407802655595, 'tp': 727, 'tn': 384, 'fp': 509, 'fn': 180, 'acc': 0.6172222222222222}"
14,"{'mcc': 0.023760869682566285, 'tp': 907, 'tn': 1, 'fp': 892, 'fn': 0, 'acc': 0.5044444444444445}"
