1989
"{'TP': 26, 'TN': 0, 'FP': 24, 'FN': 0}"
"{'TP': 26, 'TN': 0, 'FP': 24, 'FN': 0}"
"{'TP': 26, 'TN': 0, 'FP': 24, 'FN': 0}"
"{'TP': 0, 'TN': 24, 'FP': 0, 'FN': 26}"
"{'TP': 0, 'TN': 24, 'FP': 0, 'FN': 26}"
"{'TP': 0, 'TN': 24, 'FP': 0, 'FN': 26}"
"{'TP': 5, 'TN': 24, 'FP': 0, 'FN': 21}"
"{'TP': 26, 'TN': 4, 'FP': 20, 'FN': 0}"
"{'TP': 26, 'TN': 2, 'FP': 22, 'FN': 0}"
"{'TP': 26, 'TN': 2, 'FP': 22, 'FN': 0}"
"{'TP': 26, 'TN': 4, 'FP': 20, 'FN': 0}"
"{'TP': 26, 'TN': 14, 'FP': 10, 'FN': 0}"
"{'TP': 16, 'TN': 24, 'FP': 0, 'FN': 10}"
"{'TP': 15, 'TN': 24, 'FP': 0, 'FN': 11}"
"{'TP': 18, 'TN': 24, 'FP': 0, 'FN': 8}"
"{'TP': 25, 'TN': 20, 'FP': 4, 'FN': 1}"
"{'TP': 26, 'TN': 15, 'FP': 9, 'FN': 0}"
"{'TP': 26, 'TN': 15, 'FP': 9, 'FN': 0}"
"{'TP': 26, 'TN': 20, 'FP': 4, 'FN': 0}"
"{'TP': 25, 'TN': 21, 'FP': 3, 'FN': 1}"
"{'TP': 21, 'TN': 24, 'FP': 0, 'FN': 5}"
"{'TP': 24, 'TN': 24, 'FP': 0, 'FN': 2}"
"{'TP': 25, 'TN': 21, 'FP': 3, 'FN': 1}"
"{'TP': 26, 'TN': 20, 'FP': 4, 'FN': 0}"
"{'TP': 26, 'TN': 21, 'FP': 3, 'FN': 0}"
"{'TP': 25, 'TN': 22, 'FP': 2, 'FN': 1}"
"{'TP': 25, 'TN': 24, 'FP': 0, 'FN': 1}"
"{'TP': 25, 'TN': 24, 'FP': 0, 'FN': 1}"
"{'TP': 26, 'TN': 22, 'FP': 2, 'FN': 0}"
"{'TP': 26, 'TN': 22, 'FP': 2, 'FN': 0}"
"{'TP': 26, 'TN': 24, 'FP': 0, 'FN': 0}"
"{'TP': 26, 'TN': 24, 'FP': 0, 'FN': 0}"
"{'TP': 26, 'TN': 24, 'FP': 0, 'FN': 0}"
"{'TP': 26, 'TN': 24, 'FP': 0, 'FN': 0}"
"{'TP': 26, 'TN': 24, 'FP': 0, 'FN': 0}"
"{'TP': 26, 'TN': 24, 'FP': 0, 'FN': 0}"
"{'TP': 26, 'TN': 24, 'FP': 0, 'FN': 0}"
"{'TP': 26, 'TN': 24, 'FP': 0, 'FN': 0}"
"{'TP': 26, 'TN': 24, 'FP': 0, 'FN': 0}"
"{'TP': 26, 'TN': 24, 'FP': 0, 'FN': 0}"
"{'TP': 26, 'TN': 24, 'FP': 0, 'FN': 0}"
"{'TP': 26, 'TN': 24, 'FP': 0, 'FN': 0}"
"{'TP': 26, 'TN': 24, 'FP': 0, 'FN': 0}"
"{'TP': 26, 'TN': 24, 'FP': 0, 'FN': 0}"
"{'TP': 26, 'TN': 24, 'FP': 0, 'FN': 0}"
"{'TP': 26, 'TN': 24, 'FP': 0, 'FN': 0}"
"{'TP': 26, 'TN': 24, 'FP': 0, 'FN': 0}"
"{'TP': 26, 'TN': 24, 'FP': 0, 'FN': 0}"
"{'TP': 26, 'TN': 24, 'FP': 0, 'FN': 0}"
"{'TP': 26, 'TN': 24, 'FP': 0, 'FN': 0}"
