1988
"{'TP': 54, 'TN': 0, 'FP': 46, 'FN': 0}"
"{'TP': 54, 'TN': 0, 'FP': 46, 'FN': 0}"
"{'TP': 54, 'TN': 1, 'FP': 45, 'FN': 0}"
"{'TP': 0, 'TN': 46, 'FP': 0, 'FN': 54}"
"{'TP': 0, 'TN': 46, 'FP': 0, 'FN': 54}"
"{'TP': 0, 'TN': 46, 'FP': 0, 'FN': 54}"
"{'TP': 12, 'TN': 45, 'FP': 1, 'FN': 42}"
"{'TP': 52, 'TN': 5, 'FP': 41, 'FN': 2}"
"{'TP': 54, 'TN': 3, 'FP': 43, 'FN': 0}"
"{'TP': 54, 'TN': 3, 'FP': 43, 'FN': 0}"
"{'TP': 54, 'TN': 3, 'FP': 43, 'FN': 0}"
"{'TP': 51, 'TN': 9, 'FP': 37, 'FN': 3}"
"{'TP': 42, 'TN': 30, 'FP': 16, 'FN': 12}"
"{'TP': 34, 'TN': 44, 'FP': 2, 'FN': 20}"
"{'TP': 41, 'TN': 41, 'FP': 5, 'FN': 13}"
"{'TP': 48, 'TN': 17, 'FP': 29, 'FN': 6}"
"{'TP': 54, 'TN': 11, 'FP': 35, 'FN': 0}"
"{'TP': 54, 'TN': 9, 'FP': 37, 'FN': 0}"
"{'TP': 54, 'TN': 15, 'FP': 31, 'FN': 0}"
"{'TP': 48, 'TN': 30, 'FP': 16, 'FN': 6}"
"{'TP': 44, 'TN': 41, 'FP': 5, 'FN': 10}"
"{'TP': 45, 'TN': 41, 'FP': 5, 'FN': 9}"
"{'TP': 52, 'TN': 31, 'FP': 15, 'FN': 2}"
"{'TP': 54, 'TN': 22, 'FP': 24, 'FN': 0}"
"{'TP': 53, 'TN': 27, 'FP': 19, 'FN': 1}"
"{'TP': 52, 'TN': 41, 'FP': 5, 'FN': 2}"
"{'TP': 48, 'TN': 44, 'FP': 2, 'FN': 6}"
"{'TP': 49, 'TN': 44, 'FP': 2, 'FN': 5}"
"{'TP': 52, 'TN': 41, 'FP': 5, 'FN': 2}"
"{'TP': 52, 'TN': 41, 'FP': 5, 'FN': 2}"
"{'TP': 51, 'TN': 44, 'FP': 2, 'FN': 3}"
"{'TP': 51, 'TN': 45, 'FP': 1, 'FN': 3}"
"{'TP': 51, 'TN': 44, 'FP': 2, 'FN': 3}"
"{'TP': 54, 'TN': 44, 'FP': 2, 'FN': 0}"
"{'TP': 54, 'TN': 44, 'FP': 2, 'FN': 0}"
"{'TP': 54, 'TN': 45, 'FP': 1, 'FN': 0}"
"{'TP': 54, 'TN': 45, 'FP': 1, 'FN': 0}"
"{'TP': 54, 'TN': 45, 'FP': 1, 'FN': 0}"
"{'TP': 54, 'TN': 45, 'FP': 1, 'FN': 0}"
"{'TP': 54, 'TN': 45, 'FP': 1, 'FN': 0}"
"{'TP': 54, 'TN': 46, 'FP': 0, 'FN': 0}"
"{'TP': 54, 'TN': 46, 'FP': 0, 'FN': 0}"
"{'TP': 54, 'TN': 46, 'FP': 0, 'FN': 0}"
"{'TP': 54, 'TN': 46, 'FP': 0, 'FN': 0}"
"{'TP': 54, 'TN': 46, 'FP': 0, 'FN': 0}"
"{'TP': 54, 'TN': 46, 'FP': 0, 'FN': 0}"
"{'TP': 54, 'TN': 46, 'FP': 0, 'FN': 0}"
"{'TP': 54, 'TN': 46, 'FP': 0, 'FN': 0}"
"{'TP': 54, 'TN': 46, 'FP': 0, 'FN': 0}"
"{'TP': 54, 'TN': 46, 'FP': 0, 'FN': 0}"
