1989
"{'TP': 44, 'TN': 0, 'FP': 56, 'FN': 0}"
"{'TP': 11, 'TN': 54, 'FP': 2, 'FN': 33}"
"{'TP': 0, 'TN': 56, 'FP': 0, 'FN': 44}"
"{'TP': 0, 'TN': 56, 'FP': 0, 'FN': 44}"
"{'TP': 0, 'TN': 56, 'FP': 0, 'FN': 44}"
"{'TP': 19, 'TN': 54, 'FP': 2, 'FN': 25}"
"{'TP': 41, 'TN': 28, 'FP': 28, 'FN': 3}"
"{'TP': 41, 'TN': 31, 'FP': 25, 'FN': 3}"
"{'TP': 22, 'TN': 53, 'FP': 3, 'FN': 22}"
"{'TP': 7, 'TN': 56, 'FP': 0, 'FN': 37}"
"{'TP': 6, 'TN': 56, 'FP': 0, 'FN': 38}"
"{'TP': 11, 'TN': 56, 'FP': 0, 'FN': 33}"
"{'TP': 21, 'TN': 55, 'FP': 1, 'FN': 23}"
"{'TP': 33, 'TN': 49, 'FP': 7, 'FN': 11}"
"{'TP': 36, 'TN': 49, 'FP': 7, 'FN': 8}"
"{'TP': 27, 'TN': 52, 'FP': 4, 'FN': 17}"
"{'TP': 20, 'TN': 55, 'FP': 1, 'FN': 24}"
"{'TP': 20, 'TN': 55, 'FP': 1, 'FN': 24}"
"{'TP': 27, 'TN': 53, 'FP': 3, 'FN': 17}"
"{'TP': 33, 'TN': 51, 'FP': 5, 'FN': 11}"
"{'TP': 36, 'TN': 51, 'FP': 5, 'FN': 8}"
"{'TP': 31, 'TN': 53, 'FP': 3, 'FN': 13}"
"{'TP': 28, 'TN': 53, 'FP': 3, 'FN': 16}"
"{'TP': 29, 'TN': 53, 'FP': 3, 'FN': 15}"
"{'TP': 36, 'TN': 51, 'FP': 5, 'FN': 8}"
"{'TP': 37, 'TN': 51, 'FP': 5, 'FN': 7}"
"{'TP': 35, 'TN': 52, 'FP': 4, 'FN': 9}"
"{'TP': 34, 'TN': 53, 'FP': 3, 'FN': 10}"
"{'TP': 39, 'TN': 52, 'FP': 4, 'FN': 5}"
"{'TP': 40, 'TN': 52, 'FP': 4, 'FN': 4}"
"{'TP': 39, 'TN': 52, 'FP': 4, 'FN': 5}"
"{'TP': 39, 'TN': 53, 'FP': 3, 'FN': 5}"
"{'TP': 41, 'TN': 53, 'FP': 3, 'FN': 3}"
"{'TP': 44, 'TN': 53, 'FP': 3, 'FN': 0}"
"{'TP': 44, 'TN': 56, 'FP': 0, 'FN': 0}"
"{'TP': 44, 'TN': 56, 'FP': 0, 'FN': 0}"
"{'TP': 44, 'TN': 56, 'FP': 0, 'FN': 0}"
"{'TP': 44, 'TN': 56, 'FP': 0, 'FN': 0}"
"{'TP': 44, 'TN': 56, 'FP': 0, 'FN': 0}"
"{'TP': 44, 'TN': 56, 'FP': 0, 'FN': 0}"
"{'TP': 44, 'TN': 56, 'FP': 0, 'FN': 0}"
"{'TP': 44, 'TN': 56, 'FP': 0, 'FN': 0}"
"{'TP': 44, 'TN': 56, 'FP': 0, 'FN': 0}"
"{'TP': 44, 'TN': 56, 'FP': 0, 'FN': 0}"
"{'TP': 44, 'TN': 56, 'FP': 0, 'FN': 0}"
"{'TP': 44, 'TN': 56, 'FP': 0, 'FN': 0}"
"{'TP': 44, 'TN': 56, 'FP': 0, 'FN': 0}"
"{'TP': 44, 'TN': 56, 'FP': 0, 'FN': 0}"
"{'TP': 44, 'TN': 56, 'FP': 0, 'FN': 0}"
"{'TP': 44, 'TN': 56, 'FP': 0, 'FN': 0}"
